,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,981,0,2,0,0,0,0,1,7,9
automobile,0,983,0,0,0,0,0,0,0,17
bird,3,0,984,4,5,1,2,0,1,0
cat,0,1,0,979,6,10,3,0,1,0
deer,0,0,1,1,992,1,0,4,0,1
dog,0,0,0,21,4,972,1,2,0,0
frog,1,0,0,1,0,0,998,0,0,0
horse,0,0,0,0,4,1,1,994,0,0
ship,1,0,0,0,0,0,0,0,993,6
truck,0,6,0,0,0,0,0,0,0,994
